MONTH,DAY,STID,TMAX,TMIN,TAVG,DMAX,DMIN,DAVG,HMAX,HMIN,HAVG,VDEF,9AVG,HDEG,CDEG,HTMX,WCMN,PDIR,PDFQ,SDIR,SDFQ,WSMX,WSMN,WSPD,WDEV,WMAX,2MAX,2MIN,2AVG,2DEV,PMAX,PMIN,PAVG,MSLP,AMAX,ATOT,RAIN,RNUM,RMAX
2,1,NRMN,61.12,45.2,50.68,52.24,44.17,48.34,99.46,64.2,92.21,1.17,50.79,11.84,0,-996,41.6,6,35.31,7,33.22,10.48,1.47,5.78,1.68,15.78,8.92,0,4.44,1.74,28.9,28.81,28.85,30.11,589.47,4.63,0,0,0
2,2,NRMN,62.11,52.36,56.4,54.94,51.05,53.49,95.72,74.7,90.18,1.61,56.37,7.76,0,-996,-996,8,59.72,7,39.24,16.11,5.84,10.48,1.96,24.18,13.57,4.61,8.88,1.74,28.87,28.65,28.77,30.02,356.12,4.47,0,0,0
2,3,NRMN,71.06,57.13,62.38,56.74,51.82,54.69,92.78,50.68,77.37,4.86,62.32,0.91,0,-996,-996,8,84.72,7,14.58,20.92,8.92,13.73,2.44,31.63,17.75,7.58,11.69,2.15,28.65,28.39,28.5,29.75,698.17,11.24,0,0,0
2,4,NRMN,61.36,39.93,50.1,56.61,37.35,44.1,93.12,62.55,80.23,2.61,50.24,14.36,0,-996,33.15,2,28.22,0,12.89,16.8,0.57,9.79,2.25,23.09,13.66,0,7.87,2.42,28.68,28.42,28.58,29.82,586.08,10.6,0,0,0
2,5,NRMN,44.93,35.26,39.88,44.89,35.1,39.42,99.96,89.54,98.27,0.14,39.7,24.91,0,-996,27.73,1,26.39,0,20.83,11.72,2.44,7.22,1.95,16.08,9.42,0.44,5.74,1.76,28.68,28.57,28.62,29.86,215.52,2.94,0.03,3,0.12
2,6,NRMN,40.82,34.31,37.19,40.82,34.31,37.18,100,99.5,99.97,0,37,27.44,0,-996,25.4,1,45.83,2,29.51,17.96,2.98,7.22,2.3,25.86,14.52,1.61,5.94,1.88,28.62,28.48,28.56,29.8,222.39,3.27,0.05,4,0.24
2,7,NRMN,34.68,18.67,24.02,34.63,8.65,17.23,99.82,54.33,75.8,1.05,23.98,38.32,0,-996,3.6,15,64.24,0,24.31,28.66,6.45,16.96,4.93,37.2,23.15,4.43,13.37,3.98,29.27,28.52,28.96,30.22,818.15,12.1,0,0,0
2,8,NRMN,35.03,13.78,23.73,13.13,3.98,8.48,78.51,31.12,53.78,2.27,24.21,40.59,0,-996,4.09,4,22.54,1,22.54,11.9,1.77,5.98,1.83,16.73,9.51,0,4.61,1.94,29.46,29.26,29.37,30.64,761.41,15.5,0.02,2,0.12
2,9,NRMN,40.18,21.28,30.51,27.4,11.59,16.53,79.43,30.79,57.49,2.67,30.39,34.27,0,-996,13.76,6,27.37,7,22.81,12.96,1.51,6.95,2.41,17.83,10.62,0,5.74,2.24,29.36,29.01,29.22,30.49,409.11,6.06,0.01,1,0.12
2,10,NRMN,41.17,31.77,36.89,40.02,27.46,35.83,100,79.65,95.93,0.3,36.83,28.53,0,-996,22.44,8,62.15,7,28.47,13.75,2.6,8.25,2.48,22.28,12.01,0.13,6.74,2.47,29.01,28.74,28.87,30.13,178.71,2.94,0.02,2,0.12
2,11,NRMN,52.77,40,45.88,51.14,40,44.83,100,82.81,96.27,0.47,46.02,18.61,0,-996,35.12,6,28.01,7,19.15,23.35,1.65,7.94,3.96,30.62,18.77,0,6.09,3.5,28.74,28.38,28.54,29.78,212.75,3.28,0.09,9,0.12
2,12,NRMN,53.65,30.9,41.68,40.18,18.96,26.61,90.93,25.76,59.36,4.23,42.71,22.72,0,-996,22.94,15,38.01,14,31.37,29.37,0,10.65,6.13,36.75,23.4,0,8.23,5.34,29.01,28.61,28.92,30.17,726.89,17.22,0,0,0
2,13,NRMN,61.79,33.66,48.94,32.96,22.32,27.81,67.52,28.36,45.43,7.27,49.46,17.28,0,-996,29.17,8,60.76,9,27.43,24.14,3.48,13.06,5.14,35.72,20.04,0,10.77,4.58,28.98,28.47,28.74,29.99,680.64,11.62,0,0,0
2,14,NRMN,69.49,47.62,57.93,36.58,25.09,30.66,59.78,19.85,36.74,11.01,58.57,6.44,0,-996,42.02,9,27.14,2,17.5,18.61,1.59,10.65,3.97,27.04,15.52,0,8.61,3.61,28.6,28.36,28.46,29.7,769.91,11.92,0,0,0
2,15,NRMN,47.21,23.44,32.3,34.23,20.31,24.9,90.19,59.67,74.4,1.72,31.93,29.68,0,-996,11.68,0,43.06,2,32.29,19.42,7.1,13.42,2.47,25.79,15.75,5.88,11.15,1.92,28.77,28.52,28.63,29.87,267.75,4.39,0,0,0
2,16,NRMN,33.58,22.13,27.28,32.14,20.35,26.04,98.5,88.07,95.01,0.25,27.03,37.15,0,-996,9.89,-996,-999,-996,-999,-996,-996,-996,-996,19.15,-996,-996,-996,-996,28.76,28.38,28.58,29.83,182.39,3.21,0,0,0
2,17,NRMN,47.79,24.96,35.61,32.19,19.82,24.73,95.3,37.2,67.13,2.73,35.85,28.63,0,-996,17.14,15,45.49,0,21.53,17.82,3.12,9.86,3.32,24.7,14.6,0,7.8,3.2,28.94,28.53,28.73,29.98,755.51,18.08,0,0,0
2,18,NRMN,37.39,19.96,29.43,19.86,12.92,15.47,74.98,39.57,57.1,2.58,29.26,36.32,0,-996,7.55,1,50,2,43.06,16.45,7.11,11.83,1.73,22.95,13.86,5.59,9.94,1.5,29.16,28.95,29.08,30.35,683.57,12.9,0,0,0
2,19,NRMN,32.87,30.39,31.18,30.89,18.62,26.05,98.26,60.18,82.33,1.04,31.15,33.37,0,-996,20.51,-996,-999,-996,-999,-996,-996,-996,-996,20.54,-996,-996,-996,-996,29.09,28.66,28.87,30.12,122.44,1.89,0.09,9,0.12
2,20,NRMN,52.61,29.99,39.54,33.79,18.2,28.31,99.11,27.43,68.97,3.26,39.48,23.7,0,-996,27.86,-996,-999,-996,-999,-996,-996,-996,-996,23.82,-996,-996,-996,-996,28.76,28.62,28.66,29.9,780.15,18.44,0.07,7,0.12
2,21,NRMN,55.2,34.09,43.51,35.53,29.95,32.78,88.3,38.72,67.97,3.61,43.55,20.35,0,-996,28.43,6,40.28,5,25.35,20.15,3.38,9.71,3.97,28.5,16.64,0,7.67,3.89,28.81,28.7,28.76,30.01,706.36,12.52,0,0,0
2,22,NRMN,46.69,38.82,43.3,45.28,33.54,41.49,99.56,78.37,93.41,0.62,43.21,22.25,0,-996,33.64,4,48.69,3,29.96,13.14,0,6.19,2.7,17.1,10.45,0,4.58,2.51,28.84,28.62,28.73,29.98,420.73,4.06,0.18,10,0.84
2,23,NRMN,63.3,36.71,48.65,48.97,26.73,37.4,100,29.11,69.96,4.18,48.37,15,0,-996,26.91,10,22.22,14,17.71,36.46,3.4,17.93,8.66,47.65,28.36,1.97,14.21,6.88,28.91,28.36,28.54,29.78,779.18,17.49,0.04,4,0.12
2,24,NRMN,56.12,27.28,42.05,26.49,14.54,19.42,73.82,20.19,44.33,5.93,42.78,23.3,0,-996,20.11,14,23,15,19.86,16.09,1.03,7.07,2.2,21.56,12.56,0,5.23,2.19,29.13,28.91,29.05,30.31,796.86,19.48,0,0,0
2,25,NRMN,62.78,30.82,48.26,30.2,19.5,24.95,65.84,27.13,41.55,7.63,48.9,18.2,0,-996,24.12,7,46.18,6,18.75,18.84,3.33,10.65,4.06,32.01,16.25,0.84,8.73,3.94,29.07,28.84,28.95,30.21,825.98,18.66,0,0,0
2,26,NRMN,49.64,30,37.87,45.54,25.85,31.54,93.59,51.38,78.69,1.88,37.64,25.18,0,-996,21.16,7,25.35,0,18.4,14.17,4.61,8.9,1.89,18.92,11.6,4.08,7.46,1.54,28.95,28.85,28.89,30.14,213.55,4.12,0,0,0
2,27,NRMN,33.18,21.31,25.87,32.11,19.75,24.75,99.19,90.86,95.45,0.2,25.63,37.75,0,-996,20.12,-996,-999,-996,-999,-996,-996,-996,-996,16.08,-996,-996,-996,-996,28.99,28.86,28.93,30.19,121.29,2.1,0,0,0
2,28,NRMN,25.04,20.22,22.5,23.71,18.57,20.37,94.6,87.25,91.36,0.36,22.27,42.37,0,-996,-996,-996,-999,-996,-999,-996,-996,-996,-996,-996,-996,-996,-996,-996,28.96,28.83,28.9,30.16,181.88,3.49,0,0,0
3,1,NRMN,36.79,24.79,29.85,30.62,22.96,26.66,94.85,74.5,88.02,0.73,30.04,34.21,0,-996,-996,-996,-999,-996,-999,-996,-996,-996,-996,-996,-996,-996,-996,-996,28.92,28.76,28.84,30.09,552.49,6.9,0.03,3,0.12
3,2,NRMN,35.82,26.48,32.54,30.7,25.05,28.28,95.27,74.43,84.37,1.02,32.72,33.85,0,-996,23.33,-996,-999,-996,-999,-996,-996,-996,-996,19.51,-996,-996,-996,-996,28.97,28.86,28.91,30.17,138.57,3.11,0,0,0
3,3,NRMN,32.1,13.84,23.14,28.89,3.6,16.13,95.2,59.01,74.6,1.04,22.8,42.03,0,-996,-2.24,0,86.46,1,7.29,22.01,7.55,16.62,2.99,29.3,17.84,6.3,13.8,2.4,29.18,28.85,29.03,30.29,522.49,8.55,0,0,0
3,4,NRMN,26.55,10.13,16.72,7.91,-3.22,1.28,75.34,31.29,51.82,1.67,16.39,46.66,0,-996,-6.85,0,76.49,15,13.06,17.16,0,10.96,4.23,21.77,14.24,0,8.96,3.87,29.25,29.14,29.19,30.45,650.25,12.68,0,0,0
3,5,NRMN,42.54,12.94,27.21,11.94,3.68,8.11,81.25,22.23,48.89,3.24,28.06,37.26,0,-996,4.2,15,24.09,14,20.8,14.36,0.72,6.8,2.97,22.15,12.33,0,4.94,3.27,29.28,29.15,29.21,30.47,839.82,21.12,0,0,0
3,6,NRMN,53.62,20.4,37.33,20.69,9.07,13.51,64.95,19.75,40.59,5.45,37.67,27.99,0,-996,12.26,7,33.58,8,27.74,18.79,0.06,9.57,4.35,31.34,15.65,0,7.78,4.3,29.22,28.82,29.04,30.3,826.54,20.91,0,0,0
3,7,NRMN,61.29,39.9,49.85,43.26,20.79,33.29,89.28,36.4,54.36,6.11,50.51,14.41,0,-996,32.84,8,29.33,9,27.56,17.09,0,9.91,3.96,26.82,14.31,0,8.06,3.83,28.82,28.56,28.67,29.91,771.39,12.53,0,0,0
3,8,NRMN,54.14,41.76,48.5,49.58,38.88,45.92,99.66,76.45,91.1,1.12,48.93,17.05,0,-996,39.33,0,26.37,1,17.58,11.55,0.17,6.14,2.33,13.81,8.91,0,4.52,2.34,28.68,28.42,28.58,29.82,457.48,7,0,0,0
3,9,NRMN,72.82,46.12,59.12,53.37,28.15,38.47,95.77,19.63,52.67,9.35,59.23,5.53,0,-996,40.38,1,15.68,11,12.89,31.36,2.2,15.38,7.67,43.2,25.03,0.53,11.93,6.07,28.77,28.28,28.47,29.71,841.94,21.55,0.2,20,0.12
3,10,NRMN,46.06,37.3,40.14,38.8,25.31,30.93,97.82,48.74,71.02,2.53,40.11,23.32,0,-996,28.83,1,36.93,2,27.53,18.43,1.97,9.5,2.99,24.76,15.19,0.79,7.81,2.6,29,28.77,28.92,30.18,354.53,4.84,0.54,52,0.24
3,11,NRMN,60.42,38.38,48.9,50.34,37.74,44.1,98.44,65.2,84.5,2.29,48.88,15.6,0,-996,32.14,1,22.51,3,16.24,12.5,0.69,5.25,2.02,15.56,9.82,0,3.91,2.2,29.09,28.93,29.01,30.27,581.74,9.94,0.19,19,0.12
3,12,NRMN,60.69,51.19,55.26,60.23,49.8,54.65,99.54,91.26,97.78,0.32,55.32,9.06,0,-996,-996,7,46.88,6,30.9,15.86,2.38,10.02,2.81,25.37,13.14,0.34,8.12,2.57,28.96,28.42,28.75,29.99,157.85,2.75,0.05,5,0.12
